id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,hashtags,query,in_reply_to_screen_name,in_reply_to_status_id,user_mention,url,lat,lng,media
379008623097417728,https://twitter.com/DedalusDiggle_/status/379008623097417728,2013-09-14 22:27:52+00:00,I'm watching a bin bag float down the road... #saturday #night #bants #yolo #swag #exciting #fun #kill… http://t.co/yGeaF083ZU,en,0,DedalusDiggle_,saturday,lang:en #yolo,,,,http://instagram.com/p/eQe0hah87Q/,,,
379008585512263680,https://twitter.com/edlyl93/status/379008585512263680,2013-09-14 22:27:43+00:00,The only advice I can give myself right now is #yolo 😅,en,0,edlyl93,yolo,lang:en #yolo,,,,,,,
379008576016355328,https://twitter.com/Gomezyaz/status/379008576016355328,2013-09-14 22:27:40+00:00,#YOLO #loveGirls #instamoments #instadivertido http://t.co/eKfspzCoYi,en,0,Gomezyaz,YOLO,lang:en #yolo,,,,http://instagram.com/p/eQe50srN3Y/,,,
379008575034503168,https://twitter.com/silleyladnek/status/379008575034503168,2013-09-14 22:27:40+00:00,Do it bc #yolo Ask me a question http://t.co/qcdDv0JpI8,en,0,silleyladnek,yolo,lang:en #yolo,,,,http://ask.fm/silleyladnek,,,
379008533892972544,https://twitter.com/daWOLFE_Pack/status/379008533892972544,2013-09-14 22:27:30+00:00,Prostituting for M&amp;Ms because #yolo,en,0,daWOLFE_Pack,yolo,lang:en #yolo,,,,,,,
379008510983680000,https://twitter.com/GrassAndApples/status/379008510983680000,2013-09-14 22:27:25+00:00,#caturday #cat #taco #cute #foodporn #wow #nice #yolo #tbt #weouthere #nonewfriends #nofilter… http://t.co/AXCes1IVb9,en,0,GrassAndApples,caturday,lang:en #yolo,,,,http://instagram.com/p/eQe6jCrsEm/,,,
379008498509832192,https://twitter.com/aliiison523/status/379008498509832192,2013-09-14 22:27:22+00:00,Planning Sadie's wedding while we road trip. #LOL #yolo @saudiarabiaa 👰,en,0,aliiison523,LOL,lang:en #yolo,,,saudiarabiaa,,,,
379008474878705664,https://twitter.com/eringuingrich/status/379008474878705664,2013-09-14 22:27:16+00:00,Sitting under a rack of clothes in a store because I don't wanna be at the mall and jill is trying on clothes #yolo,en,0,eringuingrich,yolo,lang:en #yolo,,,,,,,
379008418750529536,https://twitter.com/DiGAnatoLiy/status/379008418750529536,2013-09-14 22:27:03+00:00,"Going to my friend's rock gig while having a small headache and allergies, should be fun. Time to #yolo in the moshpit like I do in Smite.",en,0,DiGAnatoLiy,yolo,lang:en #yolo,,,,,,,
379008398165291008,https://twitter.com/EvellynCamillo/status/379008398165291008,2013-09-14 22:26:58+00:00,I'm at Starbucks again #yolo,en,0,EvellynCamillo,yolo,lang:en #yolo,,,,,,,
