id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,lat,lng,url,hashtags,query,user_mention,in_reply_to_screen_name,in_reply_to_status_id,media
378914305351368705,https://twitter.com/justbossmell/status/378914305351368705,2013-09-14 16:13:04+00:00,RT @Robhiavelli: Ayeee Me and Melanie's first kiss! 🙌 #hashtag http://t.co/KQUthu3XxC,en,2,justbossmell,,,,hashtag,lang:en #hashtag,Robhiavelli,,,https://pbs.twimg.com/media/BUIrUtCIgAABZtc.jpg
378914198400401408,https://twitter.com/ltddiva/status/378914198400401408,2013-09-14 16:12:39+00:00,I speak in #hashtag now. Thanks Twitter. 👍 #butreally,en,0,ltddiva,,,,hashtag,lang:en #hashtag,,,,
378914184412405761,https://twitter.com/adrianeo4/status/378914184412405761,2013-09-14 16:12:36+00:00,Goodnight :) Aga pa bukas.#funrun #HMV #Godbless #Pray #Hashtag.,en,0,adrianeo4,,,,funrun,lang:en #hashtag,,,,
378913848213782528,https://twitter.com/narF_snw/status/378913848213782528,2013-09-14 16:11:15+00:00,@IndieSpeedRun Is there an official #hashtag for Indie Speed Run?,en,0,narF_snw,,,,hashtag,lang:en #hashtag,IndieSpeedRun,IndieSpeedRun,,
378913795936387072,https://twitter.com/chrisDosborn/status/378913795936387072,2013-09-14 16:11:03+00:00,Everything You Need to Know About the #Hashtag / by Annie Neugebauer / #Writer Unboxed / http://t.co/Lb8OZJAmHb,en,0,chrisDosborn,,,http://buff.ly/1ebPwpQ,Hashtag,lang:en #hashtag,,,,
378913792274735104,https://twitter.com/dtdrake37/status/378913792274735104,2013-09-14 16:11:02+00:00,#omg #hoodieweather #fall #hashtag #cut4bieber #swag #yolo #ddpyoga #twfs #lockerroompride http://t.co/piTAKbnmnj,en,0,dtdrake37,,,http://instagram.com/p/ePzjiaJJgt/,omg,lang:en #hashtag,,,,
378913743591440384,https://twitter.com/nugget_brown/status/378913743591440384,2013-09-14 16:10:51+00:00,Uncle Justin and the Kitty Kat buckled up for another round of Awbun. #murphy #hashtag #awbn #gameday… http://t.co/29Gb9VZEX9,en,0,nugget_brown,32.56214373,-84.9645309,http://instagram.com/p/ePztVcw5Qa/,murphy,lang:en #hashtag,,,,
378913637920165888,https://twitter.com/Turkey2Times/status/378913637920165888,2013-09-14 16:10:25+00:00,@PConnAnonymous #fireball #party #birthday #nofilter #penises #notgettinglaid #puke #college #frathardfratoften #boobies #hashtag,en,1,Turkey2Times,,,,fireball,lang:en #hashtag,PConnAnonymous,PConnAnonymous,378905760064757760,
378913589110636545,https://twitter.com/falseneutron/status/378913589110636545,2013-09-14 16:10:14+00:00,"""So we're just really close and go places together and have sex sometimes.""

#hashtag #lol",en,0,falseneutron,,,,hashtag,lang:en #hashtag,,,,
378913480251699200,https://twitter.com/CodyRyanRogers/status/378913480251699200,2013-09-14 16:09:48+00:00,RT @zcronrath: sitting by @CodyRyanRogers and @Jnealis21 has been so informative and entertaining #swag #hashtag,en,1,CodyRyanRogers,,,,swag,lang:en #hashtag,zcronrath,,,
378913473637646336,https://twitter.com/FeeneyKristen/status/378913473637646336,2013-09-14 16:09:46+00:00,"RT @rachcuthbert: “@FeeneyKristen: work with my bestfriend, byeeeee 💣🐶 #bombsquad #pooperscoooers #boomers #rachel #hashtag #yourmom #hasta…",en,1,FeeneyKristen,,,,bombsquad,lang:en #hashtag,rachcuthbert,,,
378913234222604288,https://twitter.com/taetiyul/status/378913234222604288,2013-09-14 16:08:49+00:00,Pre party selca #angsty #moody #breezy #idkanymore #exo #likeforlike #tags #instadaily #hashtag http://t.co/cp3kKgRmp9,en,0,taetiyul,,,http://instagram.com/p/ePzirivFUi/,angsty,lang:en #hashtag,,,,
378913130308317185,https://twitter.com/svenathon/status/378913130308317185,2013-09-14 16:08:24+00:00,"The Things They Carried is my favorite novel.
#timobrien #goodreads #hashtag",en,0,svenathon,,,,timobrien,lang:en #hashtag,,,,
378913036557647873,https://twitter.com/kaitlinpitoniak/status/378913036557647873,2013-09-14 16:08:02+00:00,@jennpimentell #missyoutoo #hashtag,en,0,kaitlinpitoniak,,,,missyoutoo,lang:en #hashtag,jennpimentell,jennpimentell,378909779189829632,
378913035886538752,https://twitter.com/raaachelth/status/378913035886538752,2013-09-14 16:08:02+00:00,Lol soz not soz #hashtag #trend @bethallen100,en,1,raaachelth,,,,hashtag,lang:en #hashtag,bethallen100,,,
